# source: U.S. Census Bureau Schedule D (distcode.html), fetched 2026-09-07
# https://www.census.gov/foreign-trade/schedules/d/distcode.html
# Every port-of-entry entry in the published list (district header rows excluded).
regime,kind,code,name,state_province,country,parent_code
ACE,port_of_entry,2775,"TNT EXPRESS, LAX",CA,US,
ACE,port_of_entry,2776,IBC PACIFIC,,US,
ACE,port_of_entry,2786,MEADOWS FIELD AIRPORT,CA,US,
ACE,port_of_entry,2791,"DHL-HUB, LOS ANGELES",CA,US,
ACE,port_of_entry,2795,UPS-ONTARIO,CA,US,
ACE,port_of_entry,2801,SAN FRANCISCO INTL ARPT,CA,US,
ACE,port_of_entry,2802,EUREKA,CA,US,
ACE,port_of_entry,2803,FRESNO,CA,US,
ACE,port_of_entry,2805,MONTEREY,CA,US,
ACE,port_of_entry,2809,SAN FRANCISCO,CA,US,
ACE,port_of_entry,2810,STOCKTON,CA,US,
ACE,port_of_entry,2811,OAKLAND,CA,US,
ACE,port_of_entry,2812,RICHMOND,CA,US,
ACE,port_of_entry,2815,CROCKETT,CA,US,
ACE,port_of_entry,2820,MARTINEZ,CA,US,
ACE,port_of_entry,2821,REDWOOD CITY,CA,US,
ACE,port_of_entry,2827,SELBY,CA,US,
ACE,port_of_entry,2828,SAN JUAQUIN RIVER,CA,US,
ACE,port_of_entry,2829,SAN PABLO BAY,CA,US,
ACE,port_of_entry,2830,CARQUINEZ STRAIT,CA,US,
ACE,port_of_entry,2833,RENO,NV,US,
ACE,port_of_entry,2834,SAN JOSE INTL AIRPORT,CA,US,
ACE,port_of_entry,2835,SACRAMENTO INT'L AIRPORT,CA,US,
ACE,port_of_entry,2895,"FEDEX, OAKLAND",CA,US,
ACE,port_of_entry,2901,ASTORIA,OR,US,
ACE,port_of_entry,2902,NEWPORT,OR,US,
ACE,port_of_entry,2903,COOS BAY,OR,US,
ACE,port_of_entry,2904,PORTLAND,OR,US,
ACE,port_of_entry,2905,LONGVIEW,WA,US,
ACE,port_of_entry,2907,BOISE,ID,US,
ACE,port_of_entry,2908,VANCOUVER,WA,US,
ACE,port_of_entry,2909,KALAMA,WA,US,
ACE,port_of_entry,2910,PORTLAND INTL AIRPORT,OR,US,
ACE,port_of_entry,3001,SEATTLE,WA,US,
ACE,port_of_entry,3002,TACOMA,WA,US,
ACE,port_of_entry,3003,ABERDEEN-HOQUIAM,WA,US,
ACE,port_of_entry,3004,BLAINE,WA,US,
ACE,port_of_entry,3005,BELLINGHAM,WA,US,
ACE,port_of_entry,3006,EVERETT,WA,US,
ACE,port_of_entry,3007,PORT ANGELES,WA,US,
ACE,port_of_entry,3008,PORT TOWNSEND,WA,US,
ACE,port_of_entry,3009,SUMAS,WA,US,
ACE,port_of_entry,3010,ANACORTES,WA,US,
ACE,port_of_entry,3011,NIGHTHAWK,WA,US,
ACE,port_of_entry,3012,DANVILLE,WA,US,
ACE,port_of_entry,3013,FERRY,WA,US,
ACE,port_of_entry,3014,FRIDAY HARBOR,WA,US,
ACE,port_of_entry,3015,BOUNDARY,WA,US,
ACE,port_of_entry,3016,LAURIER,WA,US,
ACE,port_of_entry,3017,POINT ROBERTS,WA,US,
ACE,port_of_entry,3018,KENMORE AIR HARBOR,WA,US,
ACE,port_of_entry,3019,OROVILLE,WA,US,
ACE,port_of_entry,3020,FRONTIER,WA,US,
ACE,port_of_entry,3022,SPOKANE,WA,US,
ACE,port_of_entry,3023,LYNDEN,WA,US,
ACE,port_of_entry,3025,METALINE FALLS,,US,
ACE,port_of_entry,3026,OLYMPIA,WA,US,
ACE,port_of_entry,3029,SEATTLE-TACOMA INTL ARPT,,US,
ACE,port_of_entry,3071,"UPS, SEATTLE",WA,US,
ACE,port_of_entry,3072,"AVION BROKERS, SEATTLE",WA,US,
ACE,port_of_entry,3073,"DHL, SEATTLE",WA,US,
ACE,port_of_entry,3074,"AIRBORNE EXPRESS, SEATTLE",WA,US,
ACE,port_of_entry,3082,GRANT COUNTY AIRPORT,,US,
ACE,port_of_entry,3095,"UPS, SEATTLE",WA,US,
ACE,port_of_entry,3101,JUNEAU,AK,US,
ACE,port_of_entry,3102,KETCHIKAN,AK,US,
ACE,port_of_entry,3103,SKAGWAY,AK,US,
ACE,port_of_entry,3104,ALCAN,AK,US,
ACE,port_of_entry,3105,WRANGELL,AK,US,
ACE,port_of_entry,3106,DALTON CACHE,AK,US,
ACE,port_of_entry,3111,FAIRBANKS,AK,US,
ACE,port_of_entry,3115,SITKA,AK,US,
ACE,port_of_entry,3126,ANCHORAGE,AK,US,
